"FB_ID","Ingredient_ID","Weight"
14650160,1032,20.0
14650160,1001,14.0
14650160,2047,4.5
14650165,14650160,260.0
14650165,99997515,25.0
14650165,99997550,25.0
14650165,11334,15.0
14650165,99997525,15.0
14650170,14650160,260.0
14650170,21500100,60.0
14650175,14650165,260.0
14650175,21500100,60.0
14650180,14650160,260.0
14650180,24207000,30.0
14650180,5000,30.0
14650185,14650165,260.0
14650185,24207000,30.0
14650185,5000,30.0
14650190,14650160,260.0
14650190,15152,30.0
14650190,15160,30.0
14650195,14650165,260.0
14650195,15152,30.0
14650195,15160,30.0
14660200,36012,100.0
14670000,11529,728.0
14670000,1029,340.2
14670000,2044,36.0
14670000,4135,125.0
14670000,2047,0.4
20000000,21000100,60.0
20000000,22000100,40.0
20000200,21500100,95.0
20000200,22002000,5.0
20000300,3012,45.0
20000300,3015,25.0
20000300,3002,20.0
20000300,3008,10.0
21000100,21101000,60.0
21000100,21401000,20.0
21000100,21500100,20.0
21001000,21101000,95.0
21001000,22201100,5.0
21101000,21101170,25.0
21101000,21102140,25.0
21101000,21102150,25.0
21101000,21103150,25.0
21101140,23105,100.0
21101140,2047,0.8
21101150,13959,97.0
21101150,82101000,3.0
21101150,2047,0.8
21101160,23214,100.0
21101160,2047,0.8
21101170,21101190,50.0
21101170,21101180,50.0
21101180,23197,100.0
21101180,2047,0.8
21101190,23100,70.0
21101190,23197,30.0
21101190,2047,0.8
21102140,13959,100.0
21102140,2047,0.8
21102150,21102170,50.0
21102150,21102160,50.0
21102160,13910,100.0
21102160,2047,0.8
21102170,23394,70.0
21102170,13910,30.0
21102170,2047,0.8
21102180,21103140,50.0
21102180,21102190,50.0
21102190,13910,100.0
21102190,2047,0.8
21103140,23394,70.0
21103140,13910,30.0
21103140,2047,0.8
21103150,21103170,50.0
21103150,21103160,50.0
21103160,23002,100.0
21103160,2047,0.8
21103170,13465,70.0
21103170,23002,30.0
21103170,2047,0.8
21103180,13442,100.0
21103180,2047,0.8
21104110,13910,71.0
21104110,99995000,20.0
21104110,82101000,9.0
21104110,2047,0.9
21301000,13796,100.0
21301000,2047,0.8
21302000,13796,100.0
21302000,2047,0.8
21304200,13851,70.0
21304200,6150,30.0
21304200,2047,0.8
21305000,13796,100.0
21305000,2047,0.8
21401000,23378,25.0
21401000,23348,25.0
21401000,13285,25.0
21401000,23099,25.0
21401000,2047,0.8
21407000,13285,50.0
21407000,23099,50.0
21407000,2047,0.8
21410000,21407000,100.0
21416000,13347,100.0
21417100,13368,33.0
21417100,13367,33.0
21417100,23090,33.0
